Status,Tag Code,State,Agency,Rearing Code,Location (Facility or Wild Stock),Year Brood,Stock,Ancestry,Species,Stage,Weight,Length,Year Released,Release Site,Date Last Released,Ad Clipped and Tagged,Total Released,Experiment Code,Region Released,Mark Code,Thermal Mark Hatch Code,Thermal Mark RBr,Mark ID,Comment (PSMFC),,,Row Labels
TAGGED,B41203,AK,ADFG,H,BEAVER FALLS,1983,KETCHIKAN CR,UNUK R 101-75,CHINOOK,FED FRY     ,1.8,,1984,BRENNAN LK 102-40,7/3/1984,28928,54073,R,1,AD,,,,,,,6.5 MILE CR 221-60
TAGGED,B41204,AK,ADFG,H,BEAVER FALLS,1983,KETCHIKAN CR,UNUK R 101-75,CHINOOK,FED FRY     ,1.8,,1984,BRENNAN LK 102-40,7/3/1984,30071,55256,R,1,AD,,,,,,,AMERICAN R 259-23
NOT TAGGED,!01931ADFG01,AK,ADFG,H,BIG BOULDER INSTREAM,1992,BIG BOULDER CR115-32,,CHINOOK,EMERGENT FRY,,,1993,BIG BOULDER CR115-32,5/15/1993,0,25500,,1,NO MARK,,,,,,,ANDERSON BAY 221-60
TAGGED,401020909,AK,ADFG,H,BIG BOULDER INSTREAM,1993,BIG BOULDER CR115-32,BIG BOULDER CR115-32,CHINOOK,EMERGENT FRY,0.42,,1994,BIG BOULDER CR115-32,5/20/1994,24081,24324,E,1,AD,,,,,,,ANITA BAY 107-30
TAGGED,401020907,AK,ADFG,H,BIG BOULDER INSTREAM,1994,BIG BOULDER CR115-32,BIG BOULDER CR115-32,CHINOOK,EMERGENT FRY,0.43,,1995,BIG BOULDER CR115-32,5/14/1995,9726,10314,E,1,AD,,,,,,,AUKE BAY 111-50
TAGGED,401030214,AK,ADFG,H,BIG BOULDER INSTREAM,1994,BIG BOULDER CR115-32,BIG BOULDER CR115-32,CHINOOK,EMERGENT FRY,0.43,,1995,BIG BOULDER CR115-32,5/14/1995,32765,34746,E,1,AD,,,,,,,AUKE CR 111-50
TAGGED,401021402,AK,ADFG,H,BIG BOULDER INSTREAM,1995,BIG BOULDER CR115-32,BIG BOULDER CR115-32,CHINOOK,EMERGENT FRY,,,1996,BIG BOULDER CR115-32,5/13/1996,26112,27486,E,1,AD,,,,,,,BEAR COVE 113-41
TAGGED,401030215,AK,ADFG,H,BIG BOULDER INSTREAM,1995,BIG BOULDER CR115-32,BIG BOULDER CR115-32,CHINOOK,EMERGENT FRY,,,1996,BIG BOULDER CR115-32,5/13/1996,32444,34528,E,1,AD,,,,REPLICATE TO 0401021402,,,BEAR COVE+HALIBUT PT113
NOT TAGGED,!12771ADFG01,AK,ADFG,H,BIG LAKE,1976,CROOKED CR 244-30,,CHINOOK,FINGERLING  ,0.82,,1977,MEADOW CR 247-50,5/26/1977,0,56100,,2,NO MARK,,,,,,,BENCH CR 247-60
TAGGED,311606,AK,ADFG,H,CLEAR,1981,SALCHA R,,CHINOOK,,3.38,,1982,CLEAR CR 334-40,5/1/1982,25014,102967,,3,AD,,,,,,,BIG BOULDER CR115-32
NOT TAGGED,!12841ADFG01,AK,ADFG,H,CLEAR,1983,SALCHA R,,CHINOOK,FINGERLING  ,4.4,,1984,WOOD CR 334-40,5/2/1984,0,165965,,3,RV,,,,,,,BIG SALT 103-60
TAGGED,311658,AK,ADFG,H,CLEAR,1984,SALCHA R,,CHINOOK,,4.19,,1985,WOOD CR 334-40,5/1/1985,25154,90491,,3,AD,,,,,,,BOLD IS LK 101-41
TAGGED,B30908,AK,ADFG,H,CLEAR,1985,CLEAR CR,,CHINOOK,,3.9,,1986,WOOD CR 334-40,5/2/1986,24979,203271,,3,AD,,,,,,,BOX CANYON CR 231-30
TAGGED,311748,AK,ADFG,H,CLEAR,1986,CLEAR CR,,CHINOOK,,8.2,,1987,WOOD CR 334-40,5/8/1987,22009,108408,,3,AD,,,,,,,BRENNAN LK 102-40
TAGGED,41612,AK,ADFG,H,CROOKED CREEK,1976,CROOKED CR 244-30,,CHINOOK,,34.89,,1977,CROOKED CR 244-30,6/1/1977,92,92,,2,AD,,,,,,,BURRO CR 115-34
TAGGED,B40904,AK,ADFG,H,CROOKED CREEK,1981,CROOKED CR 244-30,,CHINOOK,,17.99,,1983,CROOKED CR 244-30,6/1/1983,10000,52800,,2,AD,,,,,,,BUSKIN R 259-21
TAGGED,B40905,AK,ADFG,H,CROOKED CREEK,1981,CROOKED CR 244-30,,CHINOOK,,17.99,,1983,CROOKED CR 244-30,6/1/1983,933,982,,2,AD,,,,,,,CARROLL INLET 101-45
TAGGED,311602,AK,ADFG,H,CROOKED CREEK,1982,CROOKED CR 244-30,,CHINOOK,,20.7,,1984,CROOKED CR 244-30,5/1/1984,20300,67800,,2,AD,,,,,,,CARROLL R 101-45
TAGGED,311609,AK,ADFG,H,CROOKED CREEK,1984,CROOKED CR 244-30,,CHINOOK,,20.21,,1985,CROOKED CR 244-30,6/1/1985,10193,54087,,2,AD,,,,,,,CHENEGA BAY 226-40
TAGGED,311719,AK,ADFG,H,CROOKED CREEK,1984,CROOKED CR 244-30,,CHINOOK,,21.6,,1986,CROOKED CR 244-30,6/10/1986,10293,69168,,2,AD,,,,,,,CHESTER BAY 101-27
TAGGED,312145,AK,ADFG,H,CROOKED CREEK,1990,KASILOF R,KASILOF R,CHINOOK,SMOLT       ,21,,1992,HOMER SPIT 241-13,7/10/1992,20614,126130,R,2,AD,,,,,,,CITY CR 108-60
NOT TAGGED,!12931ADFG01,AK,ADFG,H,CROOKED CREEK,1991,KASILOF R,,CHINOOK,SMOLT       ,18.3,,1993,HOMER SPIT 241-13,7/11/1993,0,100000,,2,NO MARK,,,,,,,CLEAR CR 334-40
TAGGED,312320,AK,ADFG,H,CROOKED CREEK,1992,CROOKED CR 244-30,CROOKED CR 244-30,CHINOOK,SMOLT       ,16.1,113,1994,HOMER SPIT 241-13,7/18/1994,45518,60302,,2,AD,,,,,,,COFFMAN COVE 106-30
TAGGED,312319,AK,ADFG,H,CROOKED CREEK,1992,CROOKED CR 244-30,CROOKED CR 244-30,CHINOOK,SMOLT       ,17.09,116,1994,HOMER SPIT 241-13,7/18/1994,46161,96571,,2,AD,,,,,,,COOPER LK 244-30 (B)
NOT TAGGED,!12911ADFG01,AK,ADFG,H,CROOKED CREEK,1989,KASILOF R,,CHINOOK,SMOLT       ,26,,1991,SEWARD LAGOON 231-30,6/25/1991,0,273500,,2,NO MARK,,,,,,,COVE CR 224-10
TAGGED,312146,AK,ADFG,H,CROOKED CREEK,1990,KASILOF R,KASILOF R,CHINOOK,SMOLT       ,20,,1992,SEWARD LAGOON 231-30,6/30/1992,21593,146993,R,2,AD,,,,,,,CRAB BAY 103-60
NOT TAGGED,!12931ADFG02,AK,ADFG,H,CROOKED CREEK,1991,KASILOF R,,CHINOOK,SMOLT       ,15,,1993,SEWARD LAGOON 231-30,6/29/1993,0,86560,,2,NO MARK,,,,,,,CRAWFISH INLET 113-33
TAGGED,312206,AK,ADFG,H,CROOKED CREEK,1991,KASILOF R,KASILOF R,CHINOOK,SMOLT       ,,,1993,TWIN FALLS CR 244-70 (B),7/21/1993,28392,100000,,2,AD,,,,,,,CRESCENT BAY 113-41
TAGGED,040102*1,AK,ADFG,H,CRYSTAL LAKE,1972,CHIGNIK R,,CHINOOK,,26.68,,1973,CRYSTAL CR 106-44,6/1/1973,1140,1140,,1,AD,,,,,,,CROOKED CR 244-30
NOT TAGGED,!01741ADFG01,AK,ADFG,H,CRYSTAL LAKE,1972,NON ALASKA,,CHINOOK,SMOLT       ,28.58,,1974,CRYSTAL CR 106-44,5/20/1974,0,48376,,1,RV,,,,WASHINGTON CARSON RIVER STOCK,,,CRYSTAL CR 106-44
NOT TAGGED,!01741ADFG02,AK,ADFG,H,CRYSTAL LAKE,1972,NON ALASKA,,CHINOOK,SMOLT       ,28.58,,1974,CRYSTAL CR 106-44,5/20/1974,0,86015,,1,AD,,,,WASHINGTON CARSON RIVER STOCK,,,DECEPTION CR 247-41
NOT TAGGED,!01751ADFG01,AK,ADFG,H,CRYSTAL LAKE,1974,CROOKED CR 244-30,,CHINOOK,FINGERLING  ,6.8,,1975,CRYSTAL CR 106-44,6/10/1975,0,21736,,1,D,,,,,,,DECEPTION+ANDERSON
NOT TAGGED,!01751ADFG02,AK,ADFG,H,CRYSTAL LAKE,1974,SHIP CR,,CHINOOK,FINGERLING  ,6.8,,1975,CRYSTAL CR 106-44,6/10/1975,0,40365,,1,D,,,,,,,DEEP INLET 113-41
NOT TAGGED,!01761ADFG01,AK,ADFG,H,CRYSTAL LAKE,1975,CHICKAMIN R 101-71,,CHINOOK,SMOLT       ,15.12,,1976,CRYSTAL CR 106-44,6/15/1976,0,8500,,1,D,,,,,,,DREDGE LK 111-50
NOT TAGGED,!01761ADFG02,AK,ADFG,H,CRYSTAL LAKE,1975,S-NAKINA R,,CHINOOK,SMOLT       ,19.22,,1976,CRYSTAL CR 106-44,6/15/1976,0,4100,,1,LV,,,,,,,EAGLE R 247-50
