Area	Long	Lat
A	-122.1346523	38.95417023
A	-126.9411374	38.79711943
A	-125.1557876	35.40553653
A	-120.3917553	35.53166069
A	-122.1346523	38.95417023
B	-121.9573631	45.55750762
B	-127.8024644	45.3111827
B	-126.9494488	38.78837888
B	-122.1263585	38.93872128
B	-121.9573631	45.55750762
D	-122.0011862	45.55643955
D	-127.8082114	45.34293131
D	-128.3680537	48.24348942
D	-124.3713297	48.517908
D	-122.0141357	45.81065876
E	-124.506546	48.05234465
E	-124.5729269	48.86832174
E	-127.7647018	50.6542443
E	-126.3946363	51.43828086
E	-120.6422779	49.65141367
E	-121.9302511	45.73911888
E	-124.1172989	47
F	-128.3581637	48.19954165
F	-134.8748349	54.02535255
F	-129.3126116	55.82222555
F	-125.2818621	52.22897746
F	-127.9138508	50.66165057
F	-124.1405008	48.78977004
F	-124.3685984	48.5
G	-134.8844522	54.03544127
G	-148.3224762	60.44138899
G	-134.9931823	61.10706855
G	-130.3442018	58.89424888
G	-129.3343877	55.78468312
G	-134.6317682	54.10445101
C -123.5779119799311 46.26548859417306 
C -125.6274585851622 46.70947735922193 
C -125.5733207604727 45.72344098351135 
C -123.5779119799311 46.26548859417306 
H -138.4214562	61.0
H -139.5982293	61.49927912
H -144.3495301	62.48696945
H -152.3811149	61.98375912
H -157.2051975	57.35442889
H -155.6080463	55.69312691
H -150.8768875	55.22
GoA	-154.3494391	54.98074677
GoA	-150.8053827	53.13225023
GoA	-144.8243388	51.6260605
GoA	-132.6891132	53.43038272
GoA	-132.294168	59.07981374
GoA	-139.3552827	60.98450601
GoA	-146.4927024	62.16
