oceanAge,month,FRAMID,Mat,FRAMRiver,CoastWideName,ReleaseSize,Run,Origin,length,areaID,originID,runID
0,9,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,250.8443418,5,3,3
0,10,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,250.8443418,5,3,3
0,11,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,250.8443418,5,3,3
0,12,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,250.8443418,5,3,3
1,1,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,250.8443418,5,3,3
1,2,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,250.8443418,5,3,3
1,3,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,250.8443418,5,3,3
1,4,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,250.8443418,5,3,3
1,5,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,340.3087236,5,3,3
1,6,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,340.3087236,5,3,3
1,7,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,385.1919173,5,3,3
1,8,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,385.1919173,5,3,3
1,9,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,465.7612016,5,3,3
1,10,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,465.7612016,5,3,3
1,11,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,465.7612016,5,3,3
1,12,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,465.7612016,5,3,3
2,1,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,465.7612016,5,3,3
2,2,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,465.7612016,5,3,3
2,3,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,465.7612016,5,3,3
2,4,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,465.7612016,5,3,3
2,5,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,528.931901,5,3,3
2,6,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,528.931901,5,3,3
2,7,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,560.6238736,5,3,3
2,8,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,560.6238736,5,3,3
2,9,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,617.5137547,5,3,3
2,10,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,617.5137547,5,3,3
2,11,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,617.5137547,5,3,3
2,12,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,617.5137547,5,3,3
3,1,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,617.5137547,5,3,3
3,2,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,617.5137547,5,3,3
3,3,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,617.5137547,5,3,3
3,4,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,617.5137547,5,3,3
3,5,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,662.1185145,5,3,3
3,6,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,662.1185145,5,3,3
3,7,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,684.4961808,5,3,3
3,8,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,684.4961808,5,3,3
3,9,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,724.6660619,5,3,3
3,10,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,724.6660619,5,3,3
3,11,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,724.6660619,5,3,3
3,12,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,724.6660619,5,3,3
4,1,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,724.6660619,5,3,3
4,2,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,724.6660619,5,3,3
4,3,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,724.6660619,5,3,3
4,4,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,724.6660619,5,3,3
4,5,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,756.1614327,5,3,3
4,6,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,756.1614327,5,3,3
4,7,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,771.9622777,5,3,3
4,8,1,1, Nk/Sm Fall,SalishSea,NA,Fall,1,771.9622777,5,3,3
0,9,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,314.5613545,5,3,3
0,10,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,314.5613545,5,3,3
0,11,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,314.5613545,5,3,3
0,12,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,314.5613545,5,3,3
1,1,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,314.5613545,5,3,3
1,2,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,314.5613545,5,3,3
1,3,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,314.5613545,5,3,3
1,4,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,314.5613545,5,3,3
1,5,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,411.8807533,5,3,3
1,6,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,411.8807533,5,3,3
1,7,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,460.5324546,5,3,3
1,8,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,460.5324546,5,3,3
1,9,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,547.5436611,5,3,3
1,10,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,547.5436611,5,3,3
1,11,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,547.5436611,5,3,3
1,12,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,547.5436611,5,3,3
2,1,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,547.5436611,5,3,3
2,2,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,547.5436611,5,3,3
2,3,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,547.5436611,5,3,3
2,4,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,547.5436611,5,3,3
2,5,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,615.4411017,5,3,3
2,6,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,615.4411017,5,3,3
2,7,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,649.3842419,5,3,3
2,8,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,649.3842419,5,3,3
2,9,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,710.0899008,5,3,3
2,10,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,710.0899008,5,3,3
2,11,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,710.0899008,5,3,3
2,12,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,710.0899008,5,3,3
3,1,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,710.0899008,5,3,3
3,2,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,710.0899008,5,3,3
3,3,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,710.0899008,5,3,3
3,4,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,710.0899008,5,3,3
3,5,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,757.4603377,5,3,3
3,6,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,757.4603377,5,3,3
3,7,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,781.1416631,5,3,3
3,8,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,781.1416631,5,3,3
3,9,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,823.4945641,5,3,3
3,10,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,823.4945641,5,3,3
3,11,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,823.4945641,5,3,3
3,12,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,823.4945641,5,3,3
4,1,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,823.4945641,5,3,3
4,2,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,823.4945641,5,3,3
4,3,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,823.4945641,5,3,3
4,4,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,823.4945641,5,3,3
4,5,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,856.5437965,5,3,3
4,6,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,856.5437965,5,3,3
4,7,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,873.0656966,5,3,3
4,8,1,2, Nk/Sm Fall,SalishSea,NA,Fall,1,873.0656966,5,3,3
0,9,2,1, NF Nook Spr,SalishSea,NA,Spring,1,250.8443418,5,3,1
