Year,area,catch,table,report
1978,1,354408,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1979,1,354408,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1980,1,354408,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1981,1,218936,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1982,1,218936,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1983,1,218936,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1984,1,218936,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1985,1,218936,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1986,1,298742,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1987,1,298742,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1988,1,298742,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1989,1,298742,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1990,1,298742,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1991,1,22054,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1992,1,22054,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1993,1,22054,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1994,1,22054,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1995,1,22054,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1996,1,16034,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1997,1,16034,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1998,1,16034,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1999,1,16034,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
2000,1,16034,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
2001,1,103176,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
2002,1,103176,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
2003,1,103176,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
2004,1,103176,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
2005,1,103176,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
2006,1,10835,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
2007,1,24878,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
2008,1,0,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
2009,1,0,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
2010,1,12553,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
2011,1,41702,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
2012,1,43513,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
2013,1,126336,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
2014,1,77551,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
2015,1,60003,a-1,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1976,1,68567,a-5,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1977,1,76600,a-5,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1978,1,65894,a-5,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1979,1,108476,a-5,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1980,1,77113,a-5,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1981,1,73827,a-5,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1982,1,122496,a-5,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1983,1,52960,a-5,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1984,1,78670,a-5,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1985,1,121751,a-5,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1986,1,114813,a-5,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1987,1,152846,a-5,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1988,1,130374,a-5,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1989,1,130907,a-5,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1990,1,112615,a-5,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1991,1,62104,a-5,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1992,1,66719,a-5,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1993,1,99317,a-5,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1994,1,165812,a-5,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1995,1,354552,a-5,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1996,1,129283,a-5,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
1997,1,208401,a-5,http://www.pcouncil.org/salmon/background/document-library/historical-data-of-ocean-salmon-fisheries/
