BasePeriodID,StockID,Age,TimeStep,MaturationRate,areaID,runID
1,1,2,3,0.019272,5,3
1,1,3,3,0.530013,5,3
1,1,4,3,0.990565,5,3
1,1,5,3,1,5,3
1,2,2,3,0.019272,5,3
1,2,3,3,0.530013,5,3
1,2,4,3,0.990565,5,3
1,2,5,3,1,5,3
1,3,2,3,0.013071,5,1
1,3,3,2,0.007387,5,1
1,3,3,3,0.370467,5,1
1,3,4,2,0.028868,5,1
1,3,4,3,0.946824,5,1
1,3,5,2,0.14939,5,1
1,3,5,3,1,5,1
1,4,2,3,0.013071,5,1
1,4,3,2,0.007387,5,1
1,4,3,3,0.370467,5,1
1,4,4,2,0.028868,5,1
1,4,4,3,0.946824,5,1
1,4,5,2,0.14939,5,1
1,4,5,3,1,5,1
1,5,2,3,0.013071,5,1
1,5,3,2,0.007387,5,1
1,5,3,3,0.370467,5,1
1,5,4,2,0.028868,5,1
1,5,4,3,0.946824,5,1
1,5,5,2,0.14939,5,1
1,5,5,3,1,5,1
1,6,2,3,0.013071,5,1
1,6,3,2,0.007387,5,1
1,6,3,3,0.370467,5,1
1,6,4,2,0.028868,5,1
1,6,4,3,0.946824,5,1
1,6,5,2,0.14939,5,1
1,6,5,3,1,5,1
1,7,2,3,0.039817,5,3
1,7,3,2,0.00086,5,3
1,7,3,3,0.261764,5,3
1,7,4,2,0.002173,5,3
1,7,4,3,0.757776,5,3
1,7,5,3,1,5,3
1,8,2,3,0.039817,5,3
1,8,3,2,0.00086,5,3
1,8,3,3,0.261764,5,3
1,8,4,2,0.002173,5,3
1,8,4,3,0.757776,5,3
1,8,5,3,1,5,3
1,9,2,3,0.039237,5,3
1,9,3,2,0.000854,5,3
1,9,3,3,0.263998,5,3
1,9,4,2,0.00217,5,3
1,9,4,3,0.75783,5,3
1,9,5,3,1,5,3
1,10,2,3,0.039237,5,3
1,10,3,2,0.000854,5,3
1,10,3,3,0.263998,5,3
1,10,4,2,0.00217,5,3
1,10,4,3,0.75783,5,3
1,10,5,3,1,5,3
1,11,2,2,0.000561,5,1
1,11,2,3,0.006457,5,1
1,11,3,2,0.063073,5,1
1,11,3,3,0.065554,5,1
1,11,4,2,0.369246,5,1
1,11,4,3,0.673702,5,1
1,11,5,2,0.346271,5,1
1,11,5,3,1,5,1
1,12,2,2,0.000561,5,1
1,12,2,3,0.006457,5,1
1,12,3,2,0.063073,5,1
1,12,3,3,0.065554,5,1
1,12,4,2,0.369246,5,1
1,12,4,3,0.673702,5,1
1,12,5,2,0.346271,5,1
1,12,5,3,1,5,1
1,13,2,3,0.010654,5,3
1,13,3,3,0.14753,5,3
1,13,4,3,0.871396,5,3
1,13,5,3,1,5,3
1,14,2,3,0.010654,5,3
1,14,3,3,0.14753,5,3
1,14,4,3,0.871396,5,3
1,14,5,3,1,5,3
1,15,2,3,0.026686,5,3
1,15,3,3,0.146727,5,3
1,15,4,3,0.803566,5,3
1,15,5,3,1,5,3
1,16,2,3,0.026686,5,3
1,16,3,3,0.146727,5,3
1,16,4,3,0.803566,5,3
1,16,5,3,1,5,3
1,17,2,3,0.022729,5,3
1,17,3,2,0.000224,5,3
1,17,3,3,0.263644,5,3
1,17,4,3,0.962264,5,3
1,17,5,3,1,5,3
1,18,2,3,0.022729,5,3
1,18,3,2,0.000224,5,3
1,18,3,3,0.263644,5,3
1,18,4,3,0.962264,5,3
1,18,5,3,1,5,3
1,19,2,3,0.010857,5,3
1,19,3,3,0.060797,5,3
1,19,4,3,0.343029,5,3
1,19,5,3,1,5,3
1,20,2,3,0.010857,5,3
1,20,3,3,0.060797,5,3
1,20,4,3,0.343029,5,3
1,20,5,3,1,5,3
1,21,2,3,0.038397,5,3
1,21,3,3,0.367476,5,3
1,21,4,3,0.95562,5,3
1,21,5,3,1,5,3
1,22,2,3,0.038397,5,3
1,22,3,3,0.367476,5,3
1,22,4,3,0.95562,5,3
1,22,5,3,1,5,3
1,23,2,3,0.08448,5,9
1,23,3,3,0.12315,5,9
1,23,4,3,0.810724,5,9
1,23,5,3,1,5,9
1,24,2,3,0.08448,5,9
1,24,3,3,0.12315,5,9
1,24,4,3,0.810724,5,9
1,24,5,3,1,5,9
1,25,2,3,0.095358,5,3
1,25,3,3,0.477669,5,3
1,25,4,3,0.976954,5,3
1,25,5,3,1,5,3
1,26,2,3,0.095358,5,3
1,26,3,3,0.477669,5,3
1,26,4,3,0.976954,5,3
1,26,5,3,1,5,3
1,27,2,3,0.07583,5,3
1,27,3,3,0.11857,5,3
1,27,4,3,0.831605,5,3
1,27,5,3,1,5,3
1,28,2,3,0.07583,5,3
1,28,3,3,0.11857,5,3
1,28,4,3,0.831605,5,3
1,28,5,3,1,5,3
1,29,2,2,0.004054,5,1
1,29,2,3,0.070428,5,1
1,29,3,2,0.05916,5,1
1,29,3,3,0.257753,5,1
1,29,4,2,0.209985,5,1
1,29,4,3,0.883721,5,1
1,29,5,2,0.20073,5,1
1,29,5,3,1,5,1
1,30,2,2,0.004054,5,1
1,30,2,3,0.070428,5,1
