Species,StockVersion,StockID,ProductionRegionNumber,ManagementUnitNumber,StockName,StockLongName,runID,areaID
CHINOOK,5,1,1,1,U-NkSm FF,UnMarked Nooksack/Samish Fall,3,5
CHINOOK,5,2,1,2,M-NkSm FF,Marked Nooksack/Samish Fall,3,5
CHINOOK,5,3,1,5,U-NFNK Sp,UnMarked NF Nooksack Spr,1,5
CHINOOK,5,4,1,6,M-NFNK Sp,Marked NF Nooksack Spr,1,5
CHINOOK,5,5,1,9,U-SFNK Sp,UnMarked SF Nooksack Spr,1,5
CHINOOK,5,6,1,10,M-SFNK Sp,Marked SF Nooksack Spr,1,5
CHINOOK,5,7,2,1,U-Skag FF,UnMarked Skagit Summer/Fall Fing,3,5
CHINOOK,5,8,2,2,M-Skag FF,Marked Skagit Summer/Fall Fing,3,5
CHINOOK,5,9,2,5,U-SkagFYr,UnMarked Skagit Summer/Fall Year,3,5
CHINOOK,5,10,2,6,M-SkagFYr,Marked Skagit Summer/Fall Year,3,5
CHINOOK,5,11,2,9,U-SkagSpY,UnMarked Skagit Spring Year,1,5
CHINOOK,5,12,2,10,M-SkagSpY,Marked Skagit Spring Year,1,5
CHINOOK,5,13,3,1,U-Snoh FF,UnMarked Snohomish Fall Fing,3,5
CHINOOK,5,14,3,2,M-Snoh FF,Marked Snohomish Fall Fing,3,5
CHINOOK,5,15,3,5,U-SnohFYr,UnMarked Snohomish Fall Year,3,5
CHINOOK,5,16,3,6,M-SnohFYr,Marked Snohomish Fall Year,3,5
CHINOOK,5,17,3,9,U-Stil FF,UnMarked Stillaguamish Fall Fing,3,5
CHINOOK,5,18,3,10,M-Stil FF,Marked Stillaguamish Fall Fing,3,5
CHINOOK,5,19,3,13,U-Tula FF,UnMarked Tulalip Fall Fing,3,5
CHINOOK,5,20,3,14,M-Tula FF,Marked Tulalip Fall Fing,3,5
CHINOOK,5,21,4,1,U-MidPSFF,UnMarked Mid PS Fall Fing,3,5
CHINOOK,5,22,4,2,M-MidPSFF,Marked Mid PS Fall Fing,3,5
CHINOOK,5,23,4,5,U-UWAc FF,UnMarked UW Accelerated,9,5
CHINOOK,5,24,4,6,M-UWAc FF,Marked UW Accelerated,9,5
CHINOOK,5,25,4,9,U-SPSd FF,UnMarked South Puget Sound Fall Fing,3,5
CHINOOK,5,26,4,10,M-SPSd FF,Marked South Puget Sound Fall Fing,3,5
