species,run,first_release_date,last_release_date,year,mon1,mon2,day1,day2,total,len_num,wt_len,release_stage,avg_length,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,release_location_name,release_location_state,areaName,area
1,2,19760727,19760728,1976,7,7,27,28,13302,0,0,F,,5000,3101,,,0,150,5000,51,R-Fulton R,BC,Bccoast,6
1,2,197606,19760628,1976,6,6,,28,11878,0,0,S,,5000,6878,,,,,,,R-Atnarko R,BC,Bccoast,6
1,2,19910604,19910716,1991,6,7,4,16,100918,0,0,S,,5000,21812,,,0,74106,,,R-Marie Lk,BC,Bccoast,6
1,2,19910604,19910716,1991,6,7,4,16,100568,0,0,S,,5000,21463,,,0,74105,,,R-Marie Lk,BC,Bccoast,6
1,2,19900625,19900625,1990,6,6,25,25,90600,0,0,S,,5000,24972,,,0,53748,5000,1880,R-Rivers In,BC,Bccoast,6
1,2,19900705,19900705,1990,7,7,5,5,90757,0,0,S,,5000,26286,,,0,53658,5000,813,R-Rivers In,BC,Bccoast,6
1,2,19900616,19900616,1990,6,6,16,16,93032,0,0,S,,5000,26942,,,0,55818,5000,272,R-Rivers In,BC,Bccoast,6
1,2,20080428,20080502,2008,4,5,28,2,17002,0,0,Y,,5000,12002,,,,,,,R-Kitsum Abv Canyon,BC,Bccoast,6
1,2,197607,19760726,1976,7,7,,26,56063,0,0,F,,5000,40858,,,5000,5205,,,R-Babine R,BC,Bccoast,6
1,2,19900607,19900608,1990,6,6,7,8,380086,380086,31167052,S,82,5000,24544,,,0,343408,5000,2134,R-Atnarko R Up,BC,Bccoast,6
1,2,19900607,19900608,1990,6,6,7,8,370467,370467,30378294,S,82,5000,23906,,,0,334482,5000,2079,R-Atnarko R Up,BC,Bccoast,6
1,2,19900607,19900608,1990,6,6,7,8,374507,374507,30709574,S,82,5000,24174,,,0,338231,5000,2102,R-Atnarko R Up,BC,Bccoast,6
1,2,19900607,19900607,1990,6,6,7,7,340296,340296,27223680,S,80,5000,25310,,,0,303371,5000,1615,R-Atnarko R Low,BC,Bccoast,6
1,2,19900607,19900607,1990,6,6,7,7,334250,334250,26740000,S,80,5000,24780,,,0,297019,5000,2451,R-Atnarko R Low,BC,Bccoast,6
1,2,19900607,19900607,1990,6,6,7,7,336407,336407,26912560,S,80,5000,25012,,,0,299799,5000,1596,R-Atnarko R Low,BC,Bccoast,6
1,2,19900612,19900612,1990,6,6,12,12,44193,44193,3314475,S,75,5000,25272,,,0,7135,5000,1786,R-Nusatsum R,BC,Bccoast,6
1,2,19900612,19900613,1990,6,6,12,13,53867,53867,3986158,S,74,5000,25738,,,0,16486,5000,1643,R-Salloomt R,BC,Bccoast,6
1,1,19920429,19920507,1992,4,5,29,7,1347756,1347756,123993552,S,92,5000,110660,,,0,1225113,5000,1983,R-Kitimat R Low,BC,Bccoast,6
1,1,19930503,19930512,1993,5,5,3,12,1296885,1296885,116719650,S,90,5000,111470,,,0,1174584,5000,831,R-Kitimat R Low,BC,Bccoast,6
1,2,19910525,19910525,1991,5,5,25,25,99888,99888,7991040,S,80,5000,27167,,,0,62676,5000,45,R-Rivers In,BC,Bccoast,6
1,2,19910426,19910426,1991,4,4,26,26,67525,67525,4186550,F,62,5000,27467,,,0,29982,5000,76,R-Wannock R,BC,Bccoast,6
1,2,19920410,19920411,1992,4,4,10,11,67974,67974,7409166,Y,109,5000,26297,,,0,31195,5000,482,R-Atnarko Ch,BC,Bccoast,6
1,2,19910524,19910525,1991,5,5,24,25,35634,0,0,F,,5000,24155,,,5000,747,0,732,R-Chuckwalla R,BC,Bccoast,6
