AreaID,River,Run,1,2,3,4,5
1,Sacramento,1,2,87,11,0,0
1,Sacramento,1,27,15,59,1,0
1,Sacramento,3,3,77,20,0,0
1,Sacramento,3,4,35,50,10,1
1,Sacramento,3,24,57,19,2,0
1,Sacramento,3,2,57,41,0,0
1,American,3,1,93,6,0,0
1,San Joaquin,3,15,45,35,5,0
1,Toulommne,3,30,50,19,1,0
1,Merced,3,30,50,19,1,0
1,Sacramento,4,9,56,31,3,2
1,Sacramento,9,1,91,8,0,0
3,Grays,3,5,39,54,1,0
3,Elochoman,3,2,47,49,1,0
3,Cowlitz,3,14,28,46,12,0
3,Kalama,3,0,34,55,11,0
3,Lewis,3,14,16,41,28,2
3,EF Lewis,3,22,19,45,15,1
3,Lewis and Clark,3,7,28,63,2,0
3,Big ,3,0,10,76,14,0
3,Gnat,3,9,21,59,12,0
3,Plympton ,3,0,19,79,2,0
2,Smith,3,17,30,41,11,1
2,Eel,3,11,40,29,22,0
2,Little,3,8,53,34,5,0
2,Russian,3,5,90,5,0,0
2,Klamath,3,17,40,41,2,0
2,Klamath,3,0,14,70,14,2
2,Klamath,3,26,46,29,3,0
2,Salmon,3,18,46,34,1,1
2,Scott,3,21,39,39,1,1
2,Shasta,3,20,39,40,1,1
2,Klamath,3,6,17,70,6,0
2,Trinity,3,20,45,33,2,0
2,SF Trinity,3,46,46,7,1,0
5,Snoqualmie,3,6,20,46,28,0
5,Puyallup,3,2,16,76,6,0
5,Hoko,3,2,9,43,40,7
4,Quilayute,3,1,2,14,62,21
4,Queets,3,1,17,30,43,10
4,Quinault,3,1,17,40,35,8
4,Humptulips,3,1,13,25,46,16
4,Humptulips,3,7,20,31,39,7
4,Chehalis,3,2,16,27,45,9
4,Chehalis,3,1,17,24,50,10
4,Chehalis,3,2,16,27,45,9
4,John-Elk,3,0,0,0,0,0
4,Willapa,3,1,21,41,34,4
3,Upper Willamette,3,4,60,34,1,0
3,Hood River,3,23,67,10,0,0
3,Wind,3,34,24,35,8,0
3,Klickatat,3,5,32,45,22,0
3,Deschutes,3,34,30,32,5,1
3,Snake R,3,26,19,50,5,0
3,Yakima,3,2,23,64,11,0
3,Marion Drain,3,20,51,22,5,0
3,Hanford,3,16,27,35,22,0
2,Wilson,3,2,9,27,49,16
2,Trask,3,0,7,48,32,14
2,Tillamook,3,4,9,45,36,8
2,Nestucca,3,4,6,36,38,18
2,Salmon,3,18,13,29,72,6
2,Siletz,3,1,8,27,48,20
2,Yaquina,3,7,21,48,25,1
2,Alsea,3,27,10,28,33,4
2,Siuslaw,3,13,16,33,36,1
2,Upper Umpqua,3,18,46,37,1,0
2,Coquille,3,18,18,44,24,1
2,Sixes,3,6,15,47,32,2
2,Elk,3,26,17,40,17,2
2,Rogue,3,27,27,40,6,0
2,Pistol,3,6,9,67,18,0
2,Chetco,3,22,19,26,33,1
8,Farragut,9,6,11,34,41,6
5,Skagit,9,0,10,73,2,1
5,Issaquah,9,2,47,48,3,0
5,Green,9,1,26,62,11,1
