species,run,brood_year,year,first_release_date,last_release_date,mon,release_stage,rearing_type,avg_weight,avg_length,cwt_1st_mark_count,cwt_2nd_mark_count,non_cwt_1st_mark_count,non_cwt_2nd_mark_count,total,release_location_name,hatchery_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,area,areaID,run2
1,2,1988,1989,198904,19890410,4,S,H,3.3,7,25104,,209896,,235000,,"H-Shuswap River, Middle,",BC,FRTH,TOMF,S_SEA,5,2
1,3,2010,2011,20111004,20111004,10,G,H,,8,14446,,,,14446,TIBURON NET PENS,PETALUMA R UNITED ANG HAT,CA,CECA,SFBA,CenCA,1,3
1,3,2009,2010,20101010,20101010,10,G,H,,8,18866,,,,18866,TIBURON NET PENS,PETALUMA R UNITED ANG HAT,CA,CECA,SFBA,CenCA,1,3
1,3,2005,2006,20060602,20060602,6,S,H,7.1,8,30111,,740439,52,770602,,H-Puntledge River H,BC,GST,GSVI,S_SEA,5,3
1,2,1997,1999,19990510,19990510,5,Y,H,8,9,48343,,41214,987,90544,,H-Babine River H,BC,NASK,SKNA,WCVI_BC,6,2
1,3,1994,1996,19960301,19960301,3,Y,H,100.79,21,22377,1724,4,,24105,,WHATCOM CR HATCHERY,WA,NOWA,BESA,S_SEA,5,3
1,1,1991,1992,19920717,19920717,7,E,H,0.43,38,2091,,21,,2112,,GULKANA,AK,CEAK,COPR,WEAK,8,1
1,1,1991,1992,19920717,19920717,7,E,H,0.43,38,2235,,23,,2258,,GULKANA,AK,CEAK,COPR,WEAK,8,1
1,1,1991,1992,19920717,19920717,7,E,H,0.43,38,2508,,25,,2533,,GULKANA,AK,CEAK,COPR,WEAK,8,1
1,1,1991,1992,19920717,19920717,7,E,H,0.43,38,2644,,27,,2671,,GULKANA,AK,CEAK,COPR,WEAK,8,1
1,3,1980,1981,19810227,19810227,2,G,H,0.65,40,47019,,9630,,56649,SAC R BEL RBDD,COLEMAN NFH,CA,SAFA,SACR,CenCA,1,3
1,2,2008,2010,20100507,20100507,5,Y,H,40.64,40,58098,791,565,,59454,COL R @ TURTLE ROCK,TURTLE ROCK HATCHERY,WA,UPCR,PRGC,CR,3,2
1,2,2008,2010,20100507,20100507,5,Y,H,40.64,40,92961,742,2600,,96303,COL R @ TURTLE ROCK,TURTLE ROCK HATCHERY,WA,UPCR,PRGC,CR,3,2
1,2,2008,2010,20100507,20100507,5,Y,H,40.64,40,94793,1290,922,,97005,COL R @ TURTLE ROCK,TURTLE ROCK HATCHERY,WA,UPCR,PRGC,CR,3,2
1,1,1997,1999,19990401,20000403,4,Y,H,56.69,41,28179,165,276,2,28622,,FOX ISLAND NET PENS,WA,SPS,EKPS,S_SEA,5,1
1,1,1997,1999,19990401,20000403,4,Y,H,56.69,41,28490,170,695,4,29359,,FOX ISLAND NET PENS,WA,SPS,EKPS,S_SEA,5,1
1,1,1997,1999,19990401,20000403,4,Y,H,56.69,41,29207,,711,,29918,,FOX ISLAND NET PENS,WA,SPS,EKPS,S_SEA,5,1
1,3,1980,1981,19810206,19810206,2,G,H,0.65,41,35905,,18662,,54567,SAC R BEL RBDD,COLEMAN NFH,CA,SAFA,SACR,CenCA,1,3
1,1,1993,1994,19940529,19940529,5,F,H,0.66,43,4883,,279,,5162,,MACAULAY,AK,CHIL,CHILG,SEAK,7,1
1,1,1991,1992,19920522,19920522,5,F,H,0.64,43,10308,,577,,10885,,MACAULAY,AK,CHIL,CHILG,SEAK,7,1
1,1,1991,1992,19920522,19920522,5,F,H,0.64,43,11915,,206,,12121,,MACAULAY,AK,CHIL,CHILG,SEAK,7,1
1,1,1991,1992,19920522,19920522,5,F,H,0.64,43,20795,,332,687,21814,,MACAULAY,AK,CHIL,CHILG,SEAK,7,1
1,1,1993,1994,19940529,19940529,5,F,H,0.66,43,21663,,1237,,22900,,MACAULAY,AK,CHIL,CHILG,SEAK,7,1
1,1,1991,1992,19920520,19920520,5,F,H,0.62,43,27204,,957,,28161,,MACAULAY,AK,CHIL,CHILG,SEAK,7,1
1,1,1991,1992,19920520,19920520,5,F,H,0.62,43,33351,,1067,,34418,,MACAULAY,AK,CHIL,CHILG,SEAK,7,1
1,1,1992,1993,19930609,19930609,6,F,H,0.87,43,22204,,22736,1957,46897,,CRYSTAL LAKE,AK,SEAK,SENE,SEAK,7,1
1,1,1992,1993,19930609,19930609,6,F,H,0.87,43,24046,,22736,2119,48901,,CRYSTAL LAKE,AK,SEAK,SENE,SEAK,7,1
1,3,2000,2001,20010216,20010216,2,P,H,0.89,43,44594,,4955,,49549,SAC R RED BLUFF DIV DAM,COLEMAN NFH,CA,SAFA,SACR,CenCA,1,3
1,3,1981,1982,19820217,19820217,2,G,H,0.91,43,43849,,6150,,49999,MOK R MOUTH,COLEMAN NFH,CA,SJOA,MOKE,CenCA,1,3
