sort order,region,areaID,Run,runID,Hatchery,CISS,PWS,YAK,NSE,SSE,QCI,NBC,CBC,NWVI,SWVI,SGEO,PUSO,WAC,COL,NOR,COR,SOR,NCA,MEN,SFB,MOB
75,9.16 Cen V,1,Fall,3,COLEMAN NFH Fall,0,0,0.002095118,0.006285355,0,0.008380473,0.004190237,0,0.241986172,0.671485439,0,0.027236539,1.21097842,0.733291431,11.49172428,7.376911796,0.916614289,5.141245897,12.23636427,21.78486626,38.14634402
76,9.16 Cen V,1,Fall,3,TEHAMA-COLUSA FF Fall,0,0,0,0,0,0,0,0.063431652,0.792895655,2.664129401,0.761179829,0.142721218,3.853472883,2.632413574,3.393593403,3.901046622,3.774183317,7.992388202,21.28131938,11.16397082,37.58325404
77,9.16 Cen V,1,Fall,3,FEATHER R HATCHERY Fall,0,0,0,0,0,0,0,0,0.311332503,0.435865504,0.186799502,0.249066002,1.556662516,0.809464508,0.373599004,1.99252802,1.743462017,4.358655044,30.3030303,16.72893317,40.95060191
66,9.14 OR CST,2,Fall,3,TRASK R HATCHERY Fall,0,0,1.008572869,33.93847705,7.362581947,23.12153303,4.261220373,0.605143722,18.96116994,3.681290973,0.554715078,0.504286435,0.756429652,0,4.538577912,0.15128593,0,0.327786183,0.226928896,0,0
67,9.14 OR CST,2,Fall,3,SALMON R HATCHERY Fall,0,0,0.78915766,23.00566135,5.112369189,30.54554812,8.071710413,0.65191285,21.19574541,3.645565277,0.617601647,0.171556013,0.840624464,0.343112026,4.803568365,0.068622405,0.051466804,0.085778007,0,0,0
68,9.14 OR CST,2,Spri,1,ROCK CR HATCHERY Spri,0,0,0.061881188,0.299092409,0.237211221,0.721947195,0.360973597,0.464108911,2.227722772,5.48679868,0.330033003,0.83539604,4.403877888,1.773927393,26.91831683,42.30610561,3.650990099,4.238861386,4.183855886,0.522552255,0.976347635
69,9.14 OR CST,2,Fall,3,ELK R HATCHERY Fall,0,0,0.149939087,3.153406429,1.354137382,5.107300159,3.52356855,0.791865805,7.740605379,4.545028582,0.417018086,0.276450192,3.584481304,0.187423859,19.2859151,47.25892606,1.166713523,0.740324243,0.595070753,0.009371193,0.112454315
70,9.15 S OR/N CA,2,Fall,3,COLE RIVERS HATCHERY Fall,0,0,0,0,0,0,0,0,0,0,0,0.07558579,0.15117158,0.15117158,3.476946334,35.33635676,7.218442933,16.85563114,24.89292013,5.505165029,6.336608718
71,9.15 S OR/N CA,2,Spri,1,COLE RIVERS HATCHERY Spri,0,0,0.012200081,0,0,0,0,0,0.109800732,0.305002033,0.028466856,0.048800325,0.43106954,0.349735665,4.428629524,22.50508337,21.90321269,25.5398536,18.00020333,2.788735258,3.549206995
72,9.15 S OR/N CA,2,Fall,3,IRON GATE HATCHERY Fall,0,0,0,0,0,0,0,0,0.069828339,0.128018621,0.040733198,0.017457085,0.09892348,0.075647367,3.537969159,28.85656095,16.95955775,22.4527204,19.51314131,3.563184948,4.686257395
