HomeArea,Predator,Year,yi,Abundance,UpdatedCSLForCenCA
1,2,1970,1,7255.00,7255.00
1,2,1971,2,8360.00,8360.00
1,2,1972,3,9524.00,9524.00
1,2,1973,4,10737.00,10737.00
1,2,1974,5,11985.00,11985.00
1,2,1975,6,13256.00,13256.00
1,2,1976,7,14537.00,14537.00
1,2,1977,8,15816.00,15816.00
1,2,1978,9,17082.00,17082.00
1,2,1979,10,18327.00,18327.00
1,2,1980,11,19540.00,19540.00
1,2,1981,12,20715.00,20715.00
1,2,1982,13,21847.00,21847.00
1,2,1983,14,22920.00,22920.00
1,2,1984,15,23945.00,23945.00
1,2,1985,16,24928.00,24928.00
1,2,1986,17,25870.00,25870.00
1,2,1987,18,26773.00,26773.00
1,2,1988,19,27612.00,27612.00
1,2,1989,20,28403.00,28403.00
1,2,1990,21,29134.00,29134.00
1,2,1991,22,29821.00,29821.00
1,2,1992,23,30443.00,30443.00
1,2,1993,24,31002.00,31002.00
1,2,1994,25,31535.00,31535.00
1,2,1995,26,32025.00,32025.00
1,2,1996,27,32463.00,32463.00
1,2,1997,28,32865.00,32865.00
1,2,1998,29,33236.00,33236.00
1,2,1999,30,33575.00,33575.00
1,2,2000,31,33884.00,33884.00
1,2,2001,32,34173.00,34173.00
1,2,2002,33,34436.00,34436.00
1,2,2003,34,34685.00,34685.00
1,2,2004,35,34913.00,34913.00
1,2,2005,36,35101.00,35101.00
1,2,2006,37,35273.00,35273.00
1,2,2007,38,35428.00,35428.00
1,2,2008,39,35565.00,35565.00
1,2,2009,40,35688.00,35688.00
1,2,2010,41,35823.00,35823.00
1,2,2011,42,35948.00,35948.00
1,2,2012,43,36062.00,36062.00
1,2,2013,44,36165.00,36165.00
1,2,2014,45,36258.00,36258.00
1,2,2015,46,36343.00,36343.00
1,3,1970,1,35248.00,4826.00
1,3,1971,2,37121.00,4811.00
1,3,1972,3,39095.00,5067.00
1,3,1973,4,41173.00,5336.00
1,3,1974,5,43361.00,5620.00
1,3,1975,6,45666.00,5918.00
1,3,1976,7,48093.00,6233.00
1,3,1977,8,50649.00,6564.00
1,3,1978,9,53342.00,6913.00
1,3,1979,10,56177.00,7281.00
1,3,1980,11,59163.00,7668.00
1,3,1981,12,62308.00,8075.00
1,3,1982,13,65619.00,8504.00
1,3,1983,14,69107.00,8956.00
1,3,1984,15,72781.00,9432.00
1,3,1985,16,76649.00,9934.00
1,3,1986,17,80723.00,10462.00
1,3,1987,18,85014.00,11018.00
1,3,1988,19,89533.00,11604.00
1,3,1989,20,94292.00,12220.00
1,3,1990,21,99304.00,12870.00
1,3,1991,22,104582.00,13554.00
1,3,1992,23,110141.00,14274.00
1,3,1993,24,115995.00,15033.00
1,3,1994,25,122161.00,15832.00
1,3,1995,26,128654.00,16674.00
1,3,1996,27,135492.00,17560.00
1,3,1997,28,142694.00,18493.00
1,3,1998,29,150279.00,19476.00
1,3,1999,30,158267.00,20512.00
1,3,2000,31,166679.00,21602.00
1,3,2001,32,175539.00,22750.00
1,3,2002,33,184869.00,23959.00
1,3,2003,34,194696.00,25233.00
1,3,2004,35,205044.00,26574.00
1,3,2005,36,215943.00,27986.00
1,3,2006,37,227421.00,29474.00
1,3,2007,38,239509.00,31041.00
1,3,2008,39,252240.00,32691.00
1,3,2009,40,265648.00,34428.00
1,3,2010,41,279768.00,36258.00
1,3,2011,42,294638.00,38185.00
1,3,2012,43,310299.00,40215.00
1,3,2013,44,326793.00,42353.00
1,3,2014,45,344163.00,44604.00
1,3,2015,46,362456.00,46975.00
1,4,1970,1,624.00,624.00
1,4,1971,2,632.00,632.00
1,4,1972,3,639.00,639.00
1,4,1973,4,647.00,647.00
1,4,1974,5,655.00,655.00
1,4,1975,6,662.00,662.00
1,4,1976,7,670.00,670.00
1,4,1977,8,678.00,678.00
1,4,1978,9,686.00,686.00
1,4,1979,10,695.00,695.00
1,4,1980,11,703.00,703.00
1,4,1981,12,711.00,711.00
1,4,1982,13,720.00,720.00
1,4,1983,14,728.00,728.00
1,4,1984,15,737.00,737.00
1,4,1985,16,746.00,746.00
1,4,1986,17,755.00,755.00
1,4,1987,18,764.00,764.00
1,4,1988,19,773.00,773.00
1,4,1989,20,782.00,782.00
1,4,1990,21,791.00,791.00
1,4,1991,22,801.00,801.00
1,4,1992,23,810.00,810.00
1,4,1993,24,820.00,820.00
1,4,1994,25,830.00,830.00
1,4,1995,26,840.00,840.00
1,4,1996,27,850.00,850.00
1,4,1997,28,860.00,860.00
1,4,1998,29,870.00,870.00
1,4,1999,30,881.00,881.00
1,4,2000,31,891.00,891.00
1,4,2001,32,902.00,902.00
1,4,2002,33,913.00,913.00
1,4,2003,34,924.00,924.00
1,4,2004,35,935.00,935.00
1,4,2005,36,946.00,946.00
1,4,2006,37,957.00,957.00
1,4,2007,38,968.00,968.00
1,4,2008,39,980.00,980.00
1,4,2009,40,992.00,992.00
1,4,2010,41,1004.00,1004.00
1,4,2011,42,1016.00,1016.00
1,4,2012,43,1028.00,1028.00
1,4,2013,44,1040.00,1040.00
1,4,2014,45,1052.00,1052.00
1,4,2015,46,1065.00,1065.00
2,2,1970,1,2265.00,2265.00
2,2,1971,2,2456.00,2456.00
2,2,1972,3,2655.00,2655.00
2,2,1973,4,2859.00,2859.00
2,2,1974,5,3069.00,3069.00
2,2,1975,6,3280.00,3280.00
2,2,1976,7,3498.00,3498.00
2,2,1977,8,3715.00,3715.00
2,2,1978,9,3935.00,3935.00
2,2,1979,10,4157.00,4157.00
2,2,1980,11,4378.00,4378.00
2,2,1981,12,4596.00,4596.00
2,2,1982,13,4815.00,4815.00
2,2,1983,14,5034.00,5034.00
2,2,1984,15,5250.00,5250.00
2,2,1985,16,5463.00,5463.00
2,2,1986,17,5670.00,5670.00
2,2,1987,18,5875.00,5875.00
2,2,1988,19,6075.00,6075.00
2,2,1989,20,6267.00,6267.00
2,2,1990,21,6451.00,6451.00
2,2,1991,22,6623.00,6623.00
2,2,1992,23,6788.00,6788.00
2,2,1993,24,6942.00,6942.00
2,2,1994,25,7086.00,7086.00
2,2,1995,26,7223.00,7223.00
2,2,1996,27,7354.00,7354.00
2,2,1997,28,7483.00,7483.00
2,2,1998,29,7602.00,7602.00
2,2,1999,30,7716.00,7716.00
2,2,2000,31,7823.00,7823.00
2,2,2001,32,7931.00,7931.00
2,2,2002,33,8036.00,8036.00
2,2,2003,34,8138.00,8138.00
2,2,2004,35,8232.00,8232.00
2,2,2005,36,8322.00,8322.00
2,2,2006,37,8406.00,8406.00
2,2,2007,38,8486.00,8486.00
2,2,2008,39,8561.00,8561.00
2,2,2009,40,8632.00,8632.00
2,2,2010,41,8697.00,8697.00
2,2,2011,42,8760.00,8760.00
2,2,2012,43,8818.00,8818.00
2,2,2013,44,8874.00,8874.00
2,2,2014,45,8925.00,8925.00
2,2,2015,46,8973.00,8973.00
2,3,1970,1,7.00,7.00
2,3,1971,2,7.00,7.00
2,3,1972,3,8.00,8.00
2,3,1973,4,8.00,8.00
2,3,1974,5,9.00,9.00
2,3,1975,6,9.00,9.00
2,3,1976,7,10.00,10.00
2,3,1977,8,10.00,10.00
2,3,1978,9,11.00,11.00
2,3,1979,10,11.00,11.00
2,3,1980,11,12.00,12.00
2,3,1981,12,12.00,12.00
2,3,1982,13,13.00,13.00
2,3,1983,14,14.00,14.00
2,3,1984,15,15.00,15.00
2,3,1985,16,15.00,15.00
2,3,1986,17,16.00,16.00
2,3,1987,18,17.00,17.00
2,3,1988,19,18.00,18.00
2,3,1989,20,19.00,19.00
2,3,1990,21,20.00,20.00
2,3,1991,22,21.00,21.00
2,3,1992,23,22.00,22.00
2,3,1993,24,23.00,23.00
2,3,1994,25,24.00,24.00
2,3,1995,26,26.00,26.00
2,3,1996,27,27.00,27.00
2,3,1997,28,29.00,29.00
2,3,1998,29,30.00,30.00
2,3,1999,30,32.00,32.00
2,3,2000,31,33.00,33.00
2,3,2001,32,35.00,35.00
2,3,2002,33,37.00,37.00
2,3,2003,34,39.00,39.00
2,3,2004,35,41.00,41.00
2,3,2005,36,43.00,43.00
2,3,2006,37,45.00,45.00
2,3,2007,38,48.00,48.00
2,3,2008,39,50.00,50.00
