area,species,speciesID,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,KW,1,1,0,0,0,0,0.01887,0.03774,0,0.05661,0.01887,0.01887,0.01887,0.01887,0.01887,0.03774,0.05661,0.05661,0.03774,0.07547,0.03774,0.01887,0.03774,0.05661,0.01887,0,0.35849
5,KW,1,2,0.07018,0,0,0,0,0.01754,0.03508,0,0.05263,0.01754,0.01754,0.01754,0.01754,0.01754,0.03509,0.05263,0.05263,0.03509,0.07018,0.03508,0.01754,0.03509,0.05263,0.01754,0.33333
5,KW,1,3,0.08065,0.06452,0,0,0,0,0.01613,0.03226,0,0.04839,0.01613,0.01613,0.01613,0.01613,0.01613,0.03226,0.04839,0.04839,0.03226,0.06452,0.03226,0.01613,0.03226,0.04839,0.32258
5,KW,1,4,0.0606,0.07576,0.06061,0,0,0,0,0.01515,0.0303,0,0.04545,0.01515,0.01515,0.01515,0.01515,0.01515,0.0303,0.04545,0.04545,0.0303,0.06061,0.0303,0.01515,0.0303,0.34848
5,KW,1,5,0.04348,0.05797,0.07246,0.05797,0,0,0,0,0.01449,0.02898,0,0.04348,0.01449,0.01449,0.01449,0.01449,0.01449,0.02899,0.04348,0.04348,0.02899,0.05797,0.02898,0.01449,0.36232
5,KW,1,6,0.01449,0.04348,0.05797,0.07246,0.05797,0,0,0,0,0.01449,0.02898,0,0.04348,0.01449,0.01449,0.01449,0.01449,0.01449,0.02899,0.04348,0.04348,0.02899,0.04348,0.02898,0.37682
5,KW,1,7,0.01429,0.01429,0.04286,0.05715,0.07143,0.05714,0,0,0,0,0.01429,0.02858,0,0.04286,0.01429,0.01429,0.01429,0.01429,0.01429,0.02857,0.04286,0.04286,0.02857,0.04286,0.4
5,KW,1,8,0.10256,0.01282,0.01282,0.03846,0.05128,0.0641,0.05128,0,0,0,0,0.01282,0.02564,0,0.03846,0.01282,0.01282,0.01282,0.01282,0.01282,0.02564,0.03846,0.03846,0.02564,0.39743
5,KW,1,9,0,0.1039,0.01299,0.01299,0.03896,0.05195,0.06494,0.05195,0,0,0,0,0.01299,0.02598,0,0.03896,0.01299,0.01299,0.01299,0.01299,0.01299,0.02597,0.03896,0.03896,0.41559
5,KW,1,10,0.01299,0,0.1039,0.01299,0.01299,0.03896,0.05195,0.06494,0.05195,0,0,0,0,0.01299,0.02598,0,0.03896,0.01299,0.01299,0.01299,0.01299,0.01299,0.02597,0.03896,0.44156
5,KW,1,11,0.02532,0.01266,0,0.10126,0.01266,0.01266,0.03798,0.05063,0.06329,0.05063,0,0,0,0,0.01266,0.02532,0,0.03798,0.01266,0.01266,0.01266,0.01266,0.01266,0.02532,0.46835
5,KW,1,12,0.01282,0.02564,0.01282,0,0.10256,0.01282,0.01282,0.03846,0.05128,0.0641,0.03846,0,0,0,0,0.01282,0.02564,0,0.03846,0.01282,0.01282,0.01282,0.01282,0.01282,0.48718
5,KW,1,13,0,0.01316,0.02632,0.01316,0,0.10526,0,0.01316,0.03948,0.05263,0.06579,0.03947,0,0,0,0,0.01316,0.02632,0,0.03948,0.01316,0.01316,0.01316,0.01316,0.5
5,KW,1,14,0,0,0.0137,0.0274,0.0137,0,0.10959,0,0.0137,0.0411,0.0548,0.06849,0.0411,0,0,0,0,0.0137,0.0274,0,0.0411,0.0137,0.0137,0.0137,0.49315
5,KW,1,15,0.0274,0,0,0.0137,0.0274,0.0137,0,0.10959,0,0.0137,0.0411,0.0548,0.06849,0.0411,0,0,0,0,0.0137,0.0274,0,0.0274,0.0137,0.0137,0.49315
5,KW,1,16,0.05333,0.02666,0,0,0.01333,0.02667,0.01333,0,0.10667,0,0.01333,0.04,0.05333,0.06666,0.04,0,0,0,0,0.01333,0.02666,0,0.02666,0.01333,0.46666
5,KW,1,17,0.08642,0.04939,0.0247,0,0,0.01235,0.02469,0.01235,0,0.09877,0,0.01235,0.03704,0.04939,0.06173,0.03704,0,0,0,0,0.01235,0.0247,0,0.0247,0.4321
5,KW,1,18,0.03615,0.08433,0.04819,0.0241,0,0,0.01205,0.0241,0.01205,0,0.09638,0,0.01205,0.03615,0.04819,0.06024,0.03614,0,0,0,0,0.01205,0.0241,0,0.43374
5,KW,1,19,0,0.03615,0.08433,0.04819,0.0241,0,0,0.01205,0.0241,0.01205,0,0.09638,0,0.01205,0.03615,0.04819,0.06024,0.03614,0,0,0,0,0.01205,0.0241,0.43374
5,KW,1,20,0.02353,0,0.03529,0.08235,0.04705,0.02352,0,0,0.01176,0.02353,0.01176,0,0.09411,0,0.01176,0.03529,0.04705,0.05882,0.03529,0,0,0,0,0.01176,0.44706
5,KW,1,21,0.04652,0.02326,0,0.03489,0.08139,0.04651,0.02326,0,0,0.01163,0.02326,0.01163,0,0.09302,0,0.01163,0.03489,0.03489,0.04651,0.03488,0,0,0,0,0.44186
