pred,area,month,Type,DietFraction,Aggregate,Chinook/AllOtheSalmon Ratio based on average catches
1,5,1,Scales_genetics,0.5,0,0.05
1,5,2,Scales_genetics,0.5,0,0.05
1,5,3,Scales_genetics,0.5,0,0.05
1,5,4,Scales_genetics,0.5,0,0.05
1,5,5,Scales_genetics,0.95,0,0.05
1,5,6,Scales_genetics,0.95,0,0.05
1,5,7,Scales_genetics,0.95,0,0.05
1,5,8,Scales_genetics,0.95,0,0.05
1,5,9,Scales_genetics,0.5,0,0.05
1,5,10,Scales_genetics,0.5,0,0.05
1,5,11,Scales_genetics,0.5,0,0.05
1,5,12,Scales_genetics,0.5,0,0.05
1,6,1,Scales_genetics,0.5,0,0.04
1,6,2,Scales_genetics,0.5,0,0.04
1,6,3,Scales_genetics,0.5,0,0.04
1,6,4,Scales_genetics,0.5,0,0.04
1,6,5,Scales_genetics,0.5,0,0.04
1,6,6,Scales_genetics,0.5,0,0.04
1,6,7,Scales_genetics,0.5,0,0.04
1,6,8,Scales_genetics,0.5,0,0.04
1,6,9,Scales_genetics,0.5,0,0.04
1,6,10,Scales_genetics,0.5,0,0.04
1,6,11,Scales_genetics,0.5,0,0.04
1,6,12,Scales_genetics,0.5,0,0.04
1,7,1,Scales_genetics,0.35,0,0.0006
1,7,2,Scales_genetics,0.35,0,0.0006
1,7,3,Scales_genetics,0.35,0,0.0006
1,7,4,Scales_genetics,0.35,0,0.0006
1,7,5,Scales_genetics,0.35,0,0.0006
1,7,6,Scales_genetics,0.35,0,0.0006
1,7,7,Scales_genetics,0.35,0,0.0006
1,7,8,Scales_genetics,0.35,0,0.0006
1,7,9,Scales_genetics,0.35,0,0.0006
1,7,10,Scales_genetics,0.35,0,0.0006
1,7,11,Scales_genetics,0.35,0,0.0006
1,7,12,Scales_genetics,0.35,0,0.0006
1,8,1,Scales_genetics,0.35,0,0.0004
1,8,2,Scales_genetics,0.35,0,0.0004
1,8,3,Scales_genetics,0.35,0,0.0004
1,8,4,Scales_genetics,0.35,0,0.0004
1,8,5,Scales_genetics,0.35,0,0.0004
1,8,6,Scales_genetics,0.35,0,0.0004
1,8,7,Scales_genetics,0.35,0,0.0004
1,8,8,Scales_genetics,0.35,0,0.0004
1,8,9,Scales_genetics,0.35,0,0.0004
1,8,10,Scales_genetics,0.35,0,0.0004
1,8,11,Scales_genetics,0.35,0,0.0004
1,8,12,Scales_genetics,0.35,0,0.0004
