area,species,speciesID,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,KW,1,1,0,0,0,0,0,0.5,0,0.333333333,1,1,1,0,1,1,0.666666667,0.333333333,0,0,0.5,0,1,0.666666667,1,0,1
5,KW,1,2,1,0,0,0,0,0,0.5,0,0.333269998,1,1,1,0,1,1,0.666730002,0.333269998,0,0,0.5,0,1,0.666730002,1,1
5,KW,1,3,0.8,1,0,0,0,0,0,0.5,0,0.333333333,1,1,1,0,1,1,0.666666667,0.333333333,0,0,0.5,0,1,0.666666667,1
5,KW,1,4,0.25,0.800026399,1,0,0,0,0,0,0.5,0,0.333333333,1,1,1,0,1,1,0.666666667,0.333333333,0,0,0.5,0,1,0.956525482
5,KW,1,5,0.66674333,0.249956874,0.800027601,1,0,0,0,0,0,0.5,0,0.33325667,1,1,1,0,1,1,0.66674333,0.33325667,0,0,0.5,0,0.960007728
5,KW,1,6,0,0.66674333,0.249956874,0.800027601,1,0,0,0,0,0,0.5,0,0.33325667,1,1,1,0,1,1,0.66674333,0.33325667,0,0,0.5,0.923066716
5,KW,1,7,0,0,0.666588894,0.250043745,0.799944001,1,0,0,0,0,0,0.5,0,0.333411106,1,1,1,0,1,1,0.666588894,0.333411106,0,0,0.89285
5,KW,1,8,0.625,0,0,0.666666667,0.25,0.8,1,0,0,0,0,0,0.5,0,0.333333333,1,1,1,0,1,1,0.666666667,0.333333333,0,0.806456483
5,KW,1,9,0,0.625024062,0,0,0.666581109,0.250048123,0.799969202,1,0,0,0,0,0,0.5,0,0.333418891,1,1,1,0,1,1,0.666581109,0.333418891,0.781250752
5,KW,1,10,1,0,0.625024062,0,0,0.666581109,0.250048123,0.799969202,1,0,0,0,0,0,0.5,0,0.333418891,1,1,1,0,1,1,0.666581109,0.764697889
5,KW,1,11,0,1,0,0.625024689,0,0,0.666666667,0.250049378,0.799968399,1,0,0,0,0,0,0.5,0,0.333333333,1,1,1,0,1,1,0.756763105
