pred,area,time,age0,age1,age2,age3,age4,age5
1,5,1,0,0.02,0.18,0.55,0.25,0
1,5,2,0,0.02,0.18,0.55,0.25,0
1,5,3,0,0.02,0.18,0.55,0.25,0
1,5,4,0,0.02,0.18,0.55,0.25,0
1,5,5,0,0.02,0.18,0.55,0.25,0
1,5,6,0,0.02,0.18,0.55,0.25,0
1,5,7,0,0.02,0.18,0.55,0.25,0
1,5,8,0,0.02,0.18,0.55,0.25,0
1,5,9,0,0.02,0.18,0.55,0.25,0
1,5,10,0,0.02,0.18,0.55,0.25,0
1,5,11,0,0.02,0.18,0.55,0.25,0
1,5,12,0,0.02,0.18,0.55,0.25,0
2,1,1,0.1,0.225,0.225,0.225,0.225,0
2,1,2,0.1,0.225,0.225,0.225,0.225,0
2,1,3,0.1,0.225,0.225,0.225,0.225,0
2,1,4,0.1,0.225,0.225,0.225,0.225,0
2,1,5,0.1,0.225,0.225,0.225,0.225,0
2,1,6,0.1,0.225,0.225,0.225,0.225,0
2,1,7,0.1,0.225,0.225,0.225,0.225,0
2,1,8,0.1,0.225,0.225,0.225,0.225,0
2,1,9,0.1,0.225,0.225,0.225,0.225,0
2,1,10,0.1,0.225,0.225,0.225,0.225,0
2,1,11,0.1,0.225,0.225,0.225,0.225,0
2,1,12,0.1,0.225,0.225,0.225,0.225,0
2,2,1,0.1,0.225,0.225,0.225,0.225,0
2,2,2,0.1,0.225,0.225,0.225,0.225,0
2,2,3,0.1,0.225,0.225,0.225,0.225,0
2,2,4,0.1,0.225,0.225,0.225,0.225,0
2,2,5,0.1,0.225,0.225,0.225,0.225,0
2,2,6,0.1,0.225,0.225,0.225,0.225,0
2,2,7,0.1,0.225,0.225,0.225,0.225,0
2,2,8,0.1,0.225,0.225,0.225,0.225,0
2,2,9,0.1,0.225,0.225,0.225,0.225,0
2,2,10,0.1,0.225,0.225,0.225,0.225,0
2,2,11,0.1,0.225,0.225,0.225,0.225,0
2,2,12,0.1,0.225,0.225,0.225,0.225,0
2,3,1,0.3333,0.1667,0.1667,0.1667,0.1667,0
2,3,2,0.76,0.06,0.06,0.06,0.06,0
2,3,3,0.76,0.06,0.06,0.06,0.06,0
2,3,4,0.76,0.06,0.06,0.06,0.06,0
2,3,5,0.76,0.06,0.06,0.06,0.06,0
2,3,6,0.5556,0.1111,0.1111,0.1111,0.1111,0
2,3,7,0.5556,0.1111,0.1111,0.1111,0.1111,0
2,3,8,0.5556,0.1111,0.1111,0.1111,0.1111,0
2,3,9,0.3333,0.1667,0.1667,0.1667,0.1667,0
2,3,10,0.3333,0.1667,0.1667,0.1667,0.1667,0
2,3,11,0.3333,0.1667,0.1667,0.1667,0.1667,0
2,3,12,0.3333,0.1667,0.1667,0.1667,0.1667,0
2,4,1,0,0.25,0.25,0.25,0.25,0
2,4,2,0,0.25,0.25,0.25,0.25,0
2,4,3,0.3333,0.1667,0.1667,0.1667,0.1667,0
2,4,4,0.3333,0.1667,0.1667,0.1667,0.1667,0
2,4,5,0.5,0.125,0.125,0.125,0.125,0
2,4,6,0.75,0.0625,0.0625,0.0625,0.0625,0
2,4,7,0.5,0.125,0.125,0.125,0.125,0
2,4,8,0.5,0.125,0.125,0.125,0.125,0
2,4,9,0.0625,0.2344,0.2344,0.2344,0.2344,0
2,4,10,0.1667,0.2083,0.2083,0.2083,0.2083,0
2,4,11,0,0.25,0.25,0.25,0.25,0
2,4,12,0,0.25,0.25,0.25,0.25,0
2,5,1,0,0.25,0.25,0.25,0.25,0
2,5,2,0,0.25,0.25,0.25,0.25,0
2,5,3,0.3333,0.1667,0.1667,0.1667,0.1667,0
2,5,4,0.3333,0.1667,0.1667,0.1667,0.1667,0
